date,msft__target
2021-03-31,250.4522247314453
2021-04-01,251.64898681640625
2021-04-05,249.71871948242188
2021-04-06,249.25543212890625
2021-04-07,251.49453735351562
2021-04-08,248.20346069335938
2021-04-09,252.04469299316406
2021-04-12,252.43072509765625
2021-04-13,252.83609008789062
2021-04-14,245.68446350097656
2021-04-15,243.70590209960938
2021-04-16,243.38743591308594
2021-04-19,243.07859802246094
2021-04-20,239.15049743652344
2021-04-21,237.87652587890625
2021-04-22,241.0228729248047
2021-04-23,243.65769958496094
2021-04-26,238.56178283691406
2021-04-27,237.64486694335938
2021-04-28,230.66696166992188
2021-04-29,234.5564422607422
2021-04-30,239.49798583984375
2021-05-03,236.63148498535156
2021-05-04,234.60472106933594
2021-05-05,235.1851348876953
2021-05-06,238.43545532226562
2021-05-07,237.16824340820312
2021-05-10,242.5951385498047
2021-05-11,243.5044708251953
2021-05-12,243.28195190429688
2021-05-13,241.17311096191406
2021-05-14,241.53102111816406
2021-05-17,239.32542419433594
2021-05-18,239.22869873046875
2021-05-19,237.69061279296875
2021-05-20,242.6048126220703
2021-05-21,245.52621459960938
2021-05-24,244.32672119140625
2021-05-25,245.3134307861328
2021-05-26,248.8442840576172
2021-05-27,249.47308349609375
2021-05-28,251.40786743164062
2021-06-01,249.92774963378906
2021-06-02,248.97972106933594
2021-06-03,252.3848419189453
2021-06-04,250.96282958984375
2021-06-07,254.05838012695312
2021-06-08,256.84442138671875
2021-06-09,256.6121520996094
2021-06-10,257.9858703613281
2021-06-11,256.370361328125
2021-06-14,259.9495849609375
2021-06-15,262.5420837402344
2021-06-16,262.05841064453125
2021-06-17,262.7356262207031
2021-06-18,268.588134765625
2021-06-21,268.5978088378906
2021-06-22,270.7937316894531
2021-06-23,268.36572265625
2021-06-24,268.86865234375
2021-06-25,268.2689514160156
2021-06-28,271.8094787597656
2021-06-29,273.28948974609375
2021-06-30,271.8578186035156
2021-07-01,271.5869140625
2021-07-02,267.96905517578125
2021-07-06,270.2035827636719
2021-07-07,272.2158203125
2021-07-08,276.8010559082031
2021-07-09,280.2158203125
2021-07-12,279.6161193847656
2021-07-13,277.18798828125
2021-07-14,276.87841796875
2021-07-15,277.1492614746094
2021-07-16,275.6112060546875
2021-07-19,275.524169921875
2021-07-20,277.7490539550781
2021-07-21,277.15899658203125
2021-07-22,280.0707702636719
2021-07-23,280.0126953125
2021-07-26,278.9195861816406
2021-07-27,277.0912170410156
2021-07-28,277.5846252441406
2021-07-29,280.351318359375
2021-07-30,283.2921447753906
2021-08-02,284.98492431640625
2021-08-03,283.5145263671875
2021-08-04,281.7796630859375
2021-08-05,287.6336669921875
2021-08-06,294.9900207519531
2021-08-09,295.2710876464844
2021-08-10,293.3036193847656
2021-08-11,292.71240234375
2021-08-12,289.88232421875
2021-08-13,290.4928894042969
2021-08-16,294.2437744140625
2021-08-17,292.58642578125
2021-08-18,292.5379638671875
2021-08-19,291.87890625
2021-08-20,291.869140625
2021-08-23,290.9386901855469
2021-08-24,290.96783447265625
2021-08-25,288.0989685058594
2021-08-26,286.6063232421875
2021-08-27,287.8468933105469
2021-08-30,290.5607604980469
2021-08-31,295.4359130859375
2021-09-01,295.8236083984375
2021-09-02,290.63824462890625
2021-09-03,285.23968505859375
2021-09-07,285.7243957519531
2021-09-08,289.3879089355469
2021-09-09,290.3377990722656
2021-09-10,290.13427734375
2021-09-13,285.11376953125
2021-09-14,274.7916259765625
2021-09-15,275.2568664550781
2021-09-16,273.2409362792969
2021-09-17,280.1999206542969
2021-09-20,274.394287109375
2021-09-21,279.8703308105469
2021-09-22,284.0863342285156
2021-09-23,285.7728576660156
2021-09-24,285.7728576660156
2021-09-27,285.17193603515625
2021-09-28,283.8634948730469
2021-09-29,287.18792724609375
2021-09-30,293.4296875
2021-10-01,294.8446960449219
2021-10-04,297.8298645019531
2021-10-05,298.74090576171875
2021-10-06,297.9461669921875
2021-10-07,301.1930236816406
2021-10-08,299.6423034667969
2021-10-11,298.6440124511719
2021-10-12,300.5630187988281
2021-10-13,313.2210388183594
2021-10-14,314.3646240234375
2021-10-15,321.41082763671875
2021-10-18,319.2301025390625
2021-10-19,322.8742980957031
2021-10-20,323.7175598144531
2021-10-21,326.08245849609375
2021-10-22,325.71417236328125
2021-10-25,326.6155090332031
2021-10-26,325.6075744628906
2021-10-27,320.6160583496094
2021-10-28,322.1958923339844
2021-10-29,326.3538513183594
2021-11-01,325.7238464355469
2021-11-02,329.0579528808594
2021-11-03,329.2812805175781
2021-11-04,331.36883544921875
2021-11-05,333.15545654296875
2021-11-08,329.9706726074219
2021-11-09,327.88299560546875
2021-11-10,328.1063232421875
2021-11-11,320.11517333984375
2021-11-12,326.8634948730469
2021-11-15,320.9987487792969
2021-11-16,320.5035095214844
2021-11-17,319.9306945800781
2021-11-18,313.6386413574219
2021-11-19,316.72637939453125
2021-11-22,325.203125
2021-11-23,325.2516784667969
2021-11-24,323.4358825683594
2021-11-26,332.6020202636719
2021-11-29,329.5531005859375
2021-11-30,318.8139953613281
2021-12-01,324.9409484863281
2021-12-02,315.47381591796875
2021-12-03,314.40576171875
2021-12-06,310.628662109375
2021-12-07,317.79449462890625
2021-12-08,323.5329895019531
2021-12-09,324.97979736328125
2021-12-10,332.5146789550781
2021-12-13,331.3495178222656
2021-12-14,332.0291748046875
2021-12-15,329.4754638671875
2021-12-16,326.56256103515625
2021-12-17,325.0380554199219
2021-12-20,319.464599609375
2021-12-21,307.2010498046875
2021-12-22,304.77349853515625
2021-12-23,304.9289245605469
2021-12-27,305.1522216796875
