Open,High,Low,Close,Close,Volume
300.80981793502855,300.80981793502855,296.78443766718874,297.3843688964844,297.3843688964844,1870300
299.126136018789,301.100127102958,296.71672526678043,298.7294006347656,298.7294006347656,2202600
297.8681808919839,301.7581070108046,297.5875869561386,301.40008544921875,301.40008544921875,2642300
305.11582426176864,307.1962414400199,303.24828876636104,304.96099853515625,304.96099853515625,3981900
305.79316392007104,308.0574348795071,303.16118553876277,304.85455322265625,304.85455322265625,2421100
308.8509004914873,314.5599626809663,305.13517157972484,313.2923583984375,313.2923583984375,3288900
315.3727883153865,317.31772183832635,308.7638000817033,309.1992492675781,309.1992492675781,5266300
306.99308596670517,310.2637097377997,304.8158987317449,307.1285400390625,307.1285400390625,3349400
306.24796319137613,307.38979930195035,302.9579975122393,303.064453125,303.064453125,3121400
288.55951462142576,297.6166277747083,286.4210414653682,297.3069763183594,297.3069763183594,4889000
290.3109418371265,292.8945500676035,288.06604257561287,288.77239990234375,288.77239990234375,4233800
286.99196008260077,291.1237667237417,286.9145619793665,287.7854309082031,287.7854309082031,2826900
287.5048497422354,291.28832118084716,286.52752505632975,291.075439453125,291.075439453125,2054200
290.7560701491758,292.3720101465802,288.143434000454,291.9559326171875,291.9559326171875,2061700
291.6462913197659,300.5195509803806,290.3883728517565,298.3520202636719,298.3520202636719,2739400
299.47451846200136,302.5709743895339,298.3520539265206,298.5939636230469,298.5939636230469,2668500
298.03272800964487,301.19689601713253,297.46182470413436,300.9066162109375,300.9066162109375,1172800
296.23294467437705,301.8839514989753,295.15885029331935,299.8712463378906,299.8712463378906,1924800
296.98768380051655,298.4681698353185,294.7911250449025,298.0036926269531,298.0036926269531,1375800
296.8037839172151,301.18718537999405,295.40069620372685,295.86517333984375,295.86517333984375,1902800
295.3330006835574,299.1067857244898,294.2782780394243,298.4681701660156,298.4681701660156,1684500
298.46816151385997,300.74208877915197,295.93292337678764,299.6970520019531,299.6970520019531,1347800
303.3291270445392,305.6016155339478,301.7850013903446,304.82470703125,304.82470703125,1788200
305.91246070090807,307.35946571366355,305.21323103381934,306.11639404296875,306.11639404296875,1822700
306.9515497037247,308.71905074999773,305.9221325310957,306.6601867675781,306.6601867675781,1295500
306.5727814338947,311.477109220504,305.9221271984496,310.55450439453125,310.55450439453125,2033400
310.302000217872,313.42910604487366,310.1854668986433,313.1280517578125,313.1280517578125,1574500
313.6815964446446,314.8372678551503,309.50566134993585,309.6027526855469,309.6027526855469,2170900
307.1263308284379,307.1263308284379,301.7558700076595,303.45538330078125,303.45538330078125,2097000
304.1546017017187,307.35938622538407,303.53305120853145,305.7181396484375,305.7181396484375,3265700
305.53363560003777,307.71872416082164,303.6593223030394,304.2517395019531,304.2517395019531,1341500
304.42653815668854,310.18545331460695,303.9895085915586,308.42767333984375,308.42767333984375,2163900
307.26231190021076,309.36969182653183,305.31028996862676,307.37884521484375,307.37884521484375,1512500
310.7681734269836,314.2254669853858,308.777326670832,309.6222229003906,309.6222229003906,2981200
310.50596488072676,312.8561325305977,304.9121284295271,306.446533203125,306.446533203125,1920900
305.91242106404525,309.1949146415356,305.91242106404525,307.2234802246094,307.2234802246094,1351400
306.339713526,312.1083498186723,305.18404206970354,311.7101745605469,311.7101745605469,1913800
308.3791464922906,311.66164001390314,307.55366261730893,308.6122131347656,308.6122131347656,1799700
306.96129207614524,309.1755144279454,305.08697838776544,307.98101806640625,307.98101806640625,1355900
306.4756682254553,308.7093322049492,302.2705995119535,302.99896240234375,302.99896240234375,2140600
305.0286470529648,307.0098023068386,303.04749179909106,306.7572937011719,306.7572937011719,1530600
303.9021196500246,306.2037415991221,300.6876138575573,306.0580749511719,306.0580749511719,1550300
305.50450812618027,306.09692533644727,301.2605852265158,302.5425109863281,302.5425109863281,1504500
