strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0033789838101196956,0.31354876969465395,0.0018866300980382444,0.1646161284146792,0.006163394665584042,0.34102646903601985,0.3061024322477762,0.4827077759682406,-0.007077850163266354,-0.3560191722726235,1.0,2,451
threshold_1pct,0.0033789838101196956,0.31354876969465395,0.0018866300980382444,0.1646161284146792,0.006163394665584042,0.34102646903601985,0.3061024322477762,0.4827077759682406,-0.007077850163266354,-0.3560191722726235,1.0,2,451
threshold_2pct,0.0033789838101196956,0.31354876969465395,0.0018866300980382444,0.1646161284146792,0.006163394665584042,0.34102646903601985,0.3061024322477762,0.4827077759682406,-0.007077850163266354,-0.3560191722726235,1.0,2,451
quantile,0.010550013842773431,0.31354876969465395,0.005881256343273966,0.1646161284146792,0.006473555645074126,0.34102646903601985,0.9085047948493571,0.4827077759682406,-0.0002903157397461473,-0.3560191722726235,1.0,2,451
