strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0,0.16537731021879365,0.0,0.45952485981757074,0.0,0.2771769293098575,0.0,1.657875570530856,0.0,-0.11582311355134224,0.0,0,102
threshold_1pct,0.0018964670013428275,0.16537731021879365,0.004691924597758801,0.45952485981757074,0.0022767722482913972,0.2771769293098575,2.060779070581106,1.657875570530856,-0.0005523121114464703,-0.11582311355134224,1.0,2,102
threshold_2pct,0.0,0.16537731021879365,0.0,0.45952485981757074,0.0,0.2771769293098575,0.0,1.657875570530856,0.0,-0.11582311355134224,0.0,0,102
quantile,0.0,0.16537731021879365,0.0,0.45952485981757074,0.0,0.2771769293098575,0.0,1.657875570530856,0.0,-0.11582311355134224,0.0,0,102
