strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,-0.04885929350585705,-0.08335494366171936,-0.1164079864948816,-0.19348076271054582,0.05559188960077179,0.2964449070413353,-2.093974270902738,-0.6526702200472194,-0.07883899014138748,-0.2953806656427525,0.5625,194,102
threshold_1pct,-0.04885929350585705,-0.08335494366171936,-0.1164079864948816,-0.19348076271054582,0.05559188960077179,0.2964449070413353,-2.093974270902738,-0.6526702200472194,-0.07883899014138748,-0.2953806656427525,0.5625,194,102
threshold_2pct,-0.04885929350585705,-0.08335494366171936,-0.1164079864948816,-0.19348076271054582,0.05559188960077179,0.2964449070413353,-2.093974270902738,-0.6526702200472194,-0.07883899014138748,-0.2953806656427525,0.5625,194,102
quantile,0.021531005215454257,-0.08335494366171936,0.054039235621163195,-0.19348076271054582,0.029533541953091318,0.2964449070413353,1.8297580326462275,-0.6526702200472194,-0.014913686470963406,-0.2953806656427525,0.4,12,102
