strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0,-0.08335494366171925,0.0,-0.1934807627105456,0.0,0.29644490704133514,0.0,-0.6526702200472191,0.0,-0.29538066564275245,0,0,102
threshold_1pct,0.0,-0.08335494366171925,0.0,-0.1934807627105456,0.0,0.29644490704133514,0.0,-0.6526702200472191,0.0,-0.29538066564275245,0,0,102
threshold_2pct,0.0,-0.08335494366171925,0.0,-0.1934807627105456,0.0,0.29644490704133514,0.0,-0.6526702200472191,0.0,-0.29538066564275245,0,0,102
quantile,0.0002787134365844768,-0.08335494366171925,0.0006887272599434002,-0.1934807627105456,0.00035682098004126585,0.29644490704133514,1.9301759102386578,-0.6526702200472191,-0.00013625336661556486,-0.29538066564275245,0,2,102
