strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0,0.003029288484737158,0.0,0.007500802683586105,0.0,0.5204044387825325,0.0,0.014413410272083697,0.0,-0.3389757091297551,0.0,0,102
threshold_1pct,0.002927610934448266,0.003029288484737158,0.00724849826420515,0.007500802683586105,0.002595595215285582,0.5204044387825325,2.792615050882512,0.014413410272083697,-7.318736267097847e-05,-0.3389757091297551,1.0,2,102
threshold_2pct,0.005543131640625143,0.003029288484737158,0.013750662004796688,0.007500802683586105,0.005182193990554278,0.5204044387825325,2.6534440875544956,0.014413410272083697,-3.1548669433504985e-05,-0.3389757091297551,1.0,2,102
quantile,0.0,0.003029288484737158,0.0,0.007500802683586105,0.0,0.5204044387825325,0.0,0.014413410272083697,0.0,-0.3389757091297551,0.0,0,102
