strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.012364635179443528,0.07199059121980644,0.00689010722449801,0.039607628260396766,0.056519493891985496,0.24740534127896582,0.12190673960502381,0.1600920499761424,-0.07768594758552651,-0.2953806656427526,0.0,2,451
threshold_1pct,0.012364635179443528,0.07199059121980644,0.00689010722449801,0.039607628260396766,0.056519493891985496,0.24740534127896582,0.12190673960502381,0.1600920499761424,-0.07768594758552651,-0.2953806656427526,0.0,2,451
threshold_2pct,0.012364635179443528,0.07199059121980644,0.00689010722449801,0.039607628260396766,0.056519493891985496,0.24740534127896582,0.12190673960502381,0.1600920499761424,-0.07768594758552651,-0.2953806656427526,0.0,2,451
quantile,0.09040189743286131,0.07199059121980644,0.04954683778315583,0.039607628260396766,0.04475904408020167,0.24740534127896582,1.1069681848963335,0.1600920499761424,-0.034287469918897154,-0.2953806656427526,1.0,2,451
