strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,-0.00569317838745087,-0.03325694066179263,-0.014006671728471365,-0.08016552123285203,0.013493532971279356,0.36808892806351484,-1.038028495449206,-0.21778846121396847,-0.01108318764014115,-0.2638997659940959,0.5172413793103449,58,102
threshold_1pct,-0.00569317838745087,-0.03325694066179263,-0.014006671728471365,-0.08016552123285203,0.013493532971279356,0.36808892806351484,-1.038028495449206,-0.21778846121396847,-0.01108318764014115,-0.2638997659940959,0.5172413793103449,58,102
threshold_2pct,-0.00569317838745087,-0.03325694066179263,-0.014006671728471365,-0.08016552123285203,0.013493532971279356,0.36808892806351484,-1.038028495449206,-0.21778846121396847,-0.01108318764014115,-0.2638997659940959,0.5172413793103449,58,102
quantile,-0.006032040069580025,-0.03325694066179263,-0.014836651582973315,-0.08016552123285203,0.013827702296948888,0.36808892806351484,-1.0729657946314808,-0.21778846121396847,-0.009630305359746866,-0.2638997659940959,0.14285714285714285,14,102
