,coefficient
const,404.2607262041954
intc__obv_10,1.0308802823514217e-07
msft__rsi_7,0.7643322975519233
msft__adx_21,0.6153484397404128
amzn__adx_14,0.11881292267362983
intc__atr_7,-51.93794069371606
