strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,-0.07260693117370354,-0.19619259222694918,-0.16991523632941796,-0.4169985195264161,0.06566499861028464,0.36046246135259213,-2.587607400067855,-1.1568431230305625,-0.09190771019223196,-0.34259975384538044,0.504950495049505,204,102
threshold_1pct,-0.07260693117370354,-0.19619259222694918,-0.16991523632941796,-0.4169985195264161,0.06566499861028464,0.36046246135259213,-2.587607400067855,-1.1568431230305625,-0.09190771019223196,-0.34259975384538044,0.504950495049505,204,102
threshold_2pct,-0.07260693117370354,-0.19619259222694918,-0.16991523632941796,-0.4169985195264161,0.06566499861028464,0.36046246135259213,-2.587607400067855,-1.1568431230305625,-0.09190771019223196,-0.34259975384538044,0.504950495049505,204,102
quantile,0.0,-0.19619259222694918,0.0,-0.4169985195264161,0.0,0.36046246135259213,0.0,-1.1568431230305625,0.0,-0.34259975384538044,0.0,0,102
