strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0,-0.19619259222694918,0.0,-0.4169985195264161,0.0,0.36046246135259224,0.0,-1.156843123030562,0.0,-0.3425997538453804,0.0,0,102
threshold_1pct,0.0,-0.19619259222694918,0.0,-0.4169985195264161,0.0,0.36046246135259224,0.0,-1.156843123030562,0.0,-0.3425997538453804,0.0,0,102
threshold_2pct,0.0,-0.19619259222694918,0.0,-0.4169985195264161,0.0,0.36046246135259224,0.0,-1.156843123030562,0.0,-0.3425997538453804,0.0,0,102
quantile,-0.0013370254748534816,-0.19619259222694918,-0.0032999926519901024,-0.4169985195264161,0.13603349419317548,0.36046246135259224,-0.02425867740560954,-1.156843123030562,-0.07412644927296984,-0.3425997538453804,0.0,2,102
