strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0004479262329104561,-0.03325694066179263,0.0011070057875486317,-0.08016552123285203,0.0032998072702685225,0.36808892806351484,0.33547589203855194,-0.21778846121396847,-0.0011384247253416106,-0.2638997659940959,0.5,16,102
threshold_1pct,0.0004479262329104561,-0.03325694066179263,0.0011070057875486317,-0.08016552123285203,0.0032998072702685225,0.36808892806351484,0.33547589203855194,-0.21778846121396847,-0.0011384247253416106,-0.2638997659940959,0.5,16,102
threshold_2pct,0.0004479262329104561,-0.03325694066179263,0.0011070057875486317,-0.08016552123285203,0.0032998072702685225,0.36808892806351484,0.33547589203855194,-0.21778846121396847,-0.0011384247253416106,-0.2638997659940959,0.5,16,102
quantile,-0.0022478410736083143,-0.03325694066179263,-0.005544314005900386,-0.08016552123285203,0.004059142938966614,0.36808892806351484,-1.3658829189473851,-0.21778846121396847,-0.002871903156727344,-0.2638997659940959,0.0,4,102
