strategy,total_strategy_return,total_buy_hold_return,annualized_strategy_return,annualized_buy_hold_return,strategy_volatility,buy_hold_volatility,sharpe_strategy,sharpe_buy_hold,max_drawdown_strategy,max_drawdown_buy_hold,win_rate,total_trades,days_traded
directional,0.0,-0.03325694066179263,0.0,-0.08016552123285203,0.0,0.36808892806351484,0,-0.21778846121396847,0.0,-0.2638997659940959,0,0,102
threshold_1pct,0.0,-0.03325694066179263,0.0,-0.08016552123285203,0.0,0.36808892806351484,0,-0.21778846121396847,0.0,-0.2638997659940959,0,0,102
threshold_2pct,0.0,-0.03325694066179263,0.0,-0.08016552123285203,0.0,0.36808892806351484,0,-0.21778846121396847,0.0,-0.2638997659940959,0,0,102
quantile,0.0,-0.03325694066179263,0.0,-0.08016552123285203,0.0,0.36808892806351484,0,-0.21778846121396847,0.0,-0.2638997659940959,0,0,102
