date,target
2023-09-28,314.74139404296875
2023-09-29,318.7744140625
2023-10-02,318.5888366699219
2023-10-03,321.1864013671875
2023-10-04,321.6062927246094
2023-10-05,317.72955322265625
2023-10-06,317.28033447265625
2023-10-09,322.93438720703125
2023-10-10,327.19195556640625
2023-10-11,315.9620666503906
2023-10-12,309.1556701660156
2023-10-13,304.8590393066406
2023-10-16,304.03875732421875
2023-10-17,306.1285095214844
2023-10-18,299.9276428222656
2023-10-19,308.9115905761719
2023-10-20,303.26727294921875
2023-10-23,308.4233093261719
2023-10-24,307.18316650390625
2023-10-25,310.0736389160156
2023-10-26,323.588623046875
2023-10-27,329.1971435546875
2023-10-30,326.6772766113281
2023-10-31,326.4615783691406
2023-11-01,325.8634033203125
2023-11-02,325.3731384277344
2023-11-03,329.8050842285156
2023-11-06,328.59906005859375
2023-11-07,335.7666015625
2023-11-08,336.7765197753906
2023-11-09,337.4922790527344
2023-11-10,341.0515441894531
2023-11-13,342.66937255859375
2023-11-14,341.17901611328125
2023-11-15,343.6891174316406
2023-11-16,344.57159423828125
2023-11-17,342.6596374511719
2023-11-20,338.80621337890625
2023-11-21,341.5614013671875
2023-11-22,346.62091064453125
2023-11-24,349.3467102050781
2023-11-27,346.8463439941406
2023-11-28,345.68939208984375
2023-11-29,343.3165588378906
2023-11-30,345.8560485839844
2023-12-01,350.61151123046875
2023-12-04,358.3085632324219
2023-12-05,363.0150451660156
2023-12-06,364.5348205566406
2023-12-07,372.5750427246094
2023-12-08,370.4865417480469
2023-12-11,368.7902526855469
2023-12-12,374.1830749511719
2023-12-13,365.51531982421875
2023-12-14,368.7020263671875
2023-12-15,368.7215881347656
2023-12-18,370.87872314453125
2023-12-19,372.6240539550781
2023-12-20,373.7222595214844
2023-12-21,372.42791748046875
2023-12-22,371.6435241699219
2023-12-26,373.1241149902344
2023-12-27,371.6533508300781
2023-12-28,374.6537170410156
2023-12-29,376.9481201171875
2024-01-02,368.5843200683594
2024-01-03,370.6238708496094
2024-01-04,370.89837646484375
2024-01-05,369.0647888183594
2024-01-08,366.19189453125
2024-01-09,364.80938720703125
2024-01-10,367.5744323730469
2024-01-11,374.23211669921875
2024-01-12,379.5660705566406
2024-01-16,380.2426452636719
2024-01-17,381.87030029296875
2024-01-18,383.75286865234375
2024-01-19,383.7724914550781
2024-01-22,385.44915771484375
2024-01-23,385.88055419921875
2024-01-24,379.29150390625
2024-01-25,378.4973449707031
2024-01-26,383.0763244628906
2024-01-29,382.4684143066406
2024-01-30,380.4877624511719
2024-01-31,383.7332458496094
2024-02-01,388.4756774902344
2024-02-02,390.5517272949219
2024-02-05,390.97479248046875
2024-02-06,383.6152038574219
2024-02-07,385.0615234375
2024-02-08,391.4273681640625
2024-02-09,391.39788818359375
2024-02-12,390.3943176269531
2024-02-13,388.99713134765625
2024-02-14,396.8388671875
2024-02-15,400.5679016113281
2024-02-16,401.3648376464844
2024-02-20,402.13226318359375
2024-02-21,404.0312805175781
2024-02-22,400.80401611328125
2024-02-23,403.9820251464844
2024-02-26,405.7432556152344
2024-02-27,405.9498596191406
2024-02-28,408.7834777832031
2024-02-29,406.1368103027344
2024-03-01,405.37921142578125
2024-03-04,405.0643310546875
2024-03-05,406.3433837890625
2024-03-06,410.04290771484375
2024-03-07,407.2879638671875
2024-03-08,412.73876953125
2024-03-11,417.5304260253906
2024-03-12,422.0859069824219
2024-03-13,424.19146728515625
2024-03-14,428.7174377441406
2024-03-15,423.2370910644531
2024-03-18,424.56536865234375
2024-03-19,424.280029296875
2024-03-20,428.96343994140625
2024-03-21,431.38385009765625
2024-03-22,427.8319091796875
2024-03-25,426.2281494140625
2024-03-26,429.1995544433594
2024-03-27,421.9875793457031
2024-03-28,427.812255859375
2024-04-01,428.75677490234375
2024-04-02,422.67626953125
2024-04-03,419.1243591308594
2024-04-04,415.6806945800781
2024-04-05,407.0419921875
2024-04-08,404.56256103515625
2024-04-09,404.23785400390625
2024-04-10,405.14300537109375
2024-04-11,405.9892272949219
2024-04-12,410.2987365722656
2024-04-15,414.5983581542969
2024-04-16,401.12872314453125
2024-04-17,406.2154846191406
2024-04-18,404.2969055175781
2024-04-19,403.4114074707031
2024-04-22,409.6493835449219
2024-04-23,405.1627197265625
2024-04-24,406.78619384765625
2024-04-25,409.7772521972656
2024-04-26,413.6775817871094
2024-04-29,419.61187744140625
2024-04-30,419.52301025390625
2024-05-01,420.5795593261719
2024-05-02,424.6180725097656
2024-05-03,428.0937805175781
2024-05-06,426.5040283203125
2024-05-07,429.8513488769531
2024-05-08,433.8603210449219
2024-05-09,430.49322509765625
2024-05-10,428.6566162109375
2024-05-13,427.64947509765625
2024-05-14,428.6170959472656
2024-05-15,432.4779052734375
2024-05-16,428.6862487792969
2024-05-17,435.42041015625
2024-05-20,429.49591064453125
2024-05-21,422.59393310546875
2024-05-22,425.0920715332031
2024-05-23,431.1152648925781
2024-05-24,425.6153564453125
2024-05-28,419.2070617675781
2024-05-29,422.2680358886719
2024-05-30,420.15496826171875
2024-05-31,421.2608947753906
2024-06-03,423.0777282714844
2024-06-04,416.7088928222656
2024-06-05,422.91973876953125
2024-06-06,421.537353515625
2024-06-07,418.52569580078125
2024-06-10,427.1063537597656
2024-06-11,431.5694885253906
2024-06-12,436.6546936035156
2024-06-13,435.3315734863281
2024-06-14,434.8082275390625
2024-06-17,432.6161804199219
2024-06-18,428.4196472167969
2024-06-20,424.9241943359375
2024-06-21,421.8138427734375
2024-06-24,420.7276611328125
2024-06-25,428.4097595214844
2024-06-26,428.5381164550781
