feature,coefficient
rel_price_rank,3.2456178287431736e-05
fred_base,0.18894006638293198
close_lag_1,-0.2743095759971409
returns_1d,-6.966443771016934
rel_price_BKR,5.6907055266615725
rel_strength_20d_BKR,-370.45565747332995
fred_dgs2,-0.8313158433154693
avg_rel_strength,964.4581430494725
sma_20_above_50,0.7234897981062471
fred_m1sl,0.010947650399735328
fred_pcend,0.03033818109494147
close_roll_5_min,-0.27913433833278123
ichimoku_senkou_b,-0.23065149529455886
fred_unrate,-6.7722096191619805
fred_pcedg,0.021987854033442382
fred_djia,-0.001496381795919792
fred_fedfunds,17.942743292095315
rel_strength_20d_HAL,-296.5015278952262
fred_nasdaqcom,0.0024443959250456796
ichimoku_kijun_26,1.2364089212226517
donchian_mid_20,-0.05472631105463341
fred_gdpc1,-0.025450988073874335
fred_pcesv,0.031156544085881914
rel_price_COP,-44.18694936014465
fred_gdppot,-0.00541322195870509
adx_14,-0.08525686343823163
close_roll_20_min,-0.5015919119556296
parabolic_sar,-0.2028640463983458
rel_strength_20d_APA,-328.29695223685155
volume_ratio,0.5885508152711569
obv,5.503684986253708e-08
obv_sma_20,-1.7660691609191458e-08
close_roll_20_mean,0.7977120466561648
sma_20,0.7977120467664438
rel_return_BKR,-1.5242030650885852
price_above_sma_50,-0.728437613586477
ichimoku_senkou_a,-0.13534527622075254
plus_di_14,0.0023265901575366494
fred_gdp,-0.011050088912540494
bb_upper,-0.36447976744604615
cci_20,0.008906660505668022
rel_strength_20d_CVX,151.20486548119476
bb_position,-0.9256041797039702
volume_lag_1,3.390715923526697e-08
returns_20d,-14.98856199628522
volatility_20d,-211.8603329945215
volume_sma_20,8.303623610998265e-07
avg_rel_return,30.405798159218005
close_roll_20_max,0.7062029727544896
fred_emratio,-23.19642392588293
fred_civpart,19.771647090976586
fred_dgs30,-7.597561725670361
donchian_high_20,-0.8476737119707097
fred_dgs10,7.220722455258425
rel_price_CTRA,-3.703917758423826
close_roll_10_min,-0.49253220938603537
close_roll_10_std,-0.6668820380709817
fred_m2sl,-0.04003341763133911
fred_pcepi,5.636857715005327
fred_tb3ms,-12.32742261176476
price_above_sma_20,-0.44298655585516705
stoch_d_3,0.019581789449241715
sma_5_above_10,-0.4608714913488268
volume_lag_2,2.8851333111348564e-08
rel_return_CVX,-12.029510562772385
