date,target
2023-09-28,200.5727996826172
2023-09-29,205.88475036621094
2023-10-02,205.7457275390625
2023-10-03,205.40814208984375
2023-10-04,205.37838745117188
2023-10-05,204.21670532226562
2023-10-06,203.13446044921875
2023-10-09,207.04641723632812
2023-10-10,208.34710693359375
2023-10-11,203.37274169921875
2023-10-12,206.83790588378906
2023-10-13,202.28057861328125
2023-10-16,200.56288146972656
2023-10-17,202.76707458496094
2023-10-18,195.6580352783203
2023-10-19,194.85379028320312
2023-10-20,195.1715087890625
2023-10-23,197.852294921875
2023-10-24,199.4011993408203
2023-10-25,202.45928955078125
2023-10-26,206.62940979003906
2023-10-27,205.99395751953125
2023-10-30,205.94432067871094
2023-10-31,210.33287048339844
2023-11-01,209.96551513671875
2023-11-02,208.515869140625
2023-11-03,212.11013793945312
2023-11-06,213.7484130859375
2023-11-07,219.60641479492188
2023-11-08,217.8589324951172
2023-11-09,219.87451171875
2023-11-10,219.64613342285156
2023-11-13,223.5283203125
2023-11-14,222.72410583496094
2023-11-15,222.24749755859375
2023-11-16,222.7836456298828
2023-11-17,223.1907196044922
2023-11-20,223.31979370117188
2023-11-21,228.711181640625
2023-11-22,250.10784912109375
2023-11-24,258.1502380371094
2023-11-27,248.87667846679688
2023-11-28,249.234130859375
2023-11-29,247.35757446289062
2023-11-30,247.07955932617188
2023-12-01,249.02561950683594
2023-12-04,250.3064422607422
2023-12-05,254.62550354003906
2023-12-06,255.4893035888672
2023-12-07,255.38009643554688
2023-12-08,259.7388610839844
2023-12-11,261.7147216796875
2023-12-12,262.4593811035156
2023-12-13,258.3984680175781
2023-12-14,265.34869384765625
2023-12-15,264.445068359375
2023-12-18,264.32598876953125
2023-12-19,264.8224182128906
2023-12-20,263.6905517578125
2023-12-21,261.2679138183594
2023-12-22,254.30776977539062
2023-12-26,250.0482940673828
2023-12-27,249.4525604248047
2023-12-28,249.33340454101562
2023-12-29,259.0140380859375
2024-01-02,259.4806823730469
2024-01-03,262.2508544921875
2024-01-04,269.4492492675781
2024-01-05,269.995361328125
2024-01-08,267.27484130859375
2024-01-09,269.50885009765625
2024-01-10,272.5073547363281
2024-01-11,278.8817138671875
2024-01-12,278.3057861328125
2024-01-16,274.8009033203125
2024-01-17,274.91015625
2024-01-18,277.04486083984375
2024-01-19,277.9483947753906
2024-01-22,285.81201171875
2024-01-23,285.6829528808594
2024-01-24,279.0901794433594
2024-01-25,281.7808837890625
2024-01-26,283.627685546875
2024-01-29,286.0602111816406
2024-01-30,283.79644775390625
2024-01-31,286.7850646972656
2024-02-01,289.8729248046875
2024-02-02,289.2275085449219
2024-02-05,285.27587890625
2024-02-06,279.1497497558594
2024-02-07,287.09283447265625
2024-02-08,289.8630065917969
2024-02-09,287.6587829589844
2024-02-12,284.3525085449219
2024-02-13,281.53271484375
2024-02-14,291.5608215332031
2024-02-15,290.71685791015625
2024-02-16,298.25286865234375
2024-02-20,297.3692321777344
2024-02-21,297.6372985839844
2024-02-22,306.6229248046875
2024-02-23,314.62554931640625
2024-02-26,312.4015197753906
2024-02-27,296.62451171875
2024-02-28,301.60882568359375
2024-02-29,300.2684326171875
2024-03-01,303.10809326171875
2024-03-04,303.822998046875
2024-03-05,304.43853759765625
2024-03-06,302.90753173828125
2024-03-07,301.5554504394531
2024-03-08,292.6177062988281
2024-03-11,298.76177978515625
2024-03-12,299.6963195800781
2024-03-13,304.29937744140625
2024-03-14,306.595947265625
2024-03-15,305.97955322265625
2024-03-18,304.2795104980469
2024-03-19,304.05078125
2024-03-20,299.626708984375
2024-03-21,299.4278564453125
2024-03-22,300.5015869140625
2024-03-25,302.2314453125
2024-03-26,302.9671630859375
2024-03-27,292.4288635253906
2024-03-28,300.15362548828125
2024-04-01,299.97467041015625
2024-04-02,300.6109619140625
2024-04-03,297.8769836425781
2024-04-04,297.4096984863281
2024-04-05,292.6077880859375
2024-04-08,271.3123779296875
2024-04-09,275.796142578125
2024-04-10,274.7125244140625
2024-04-11,270.338134765625
2024-04-12,268.7970886230469
2024-04-15,272.2170715332031
2024-04-16,275.0704040527344
2024-04-17,274.583251953125
2024-04-18,271.551025390625
2024-04-19,272.6943664550781
2024-04-22,274.1358642578125
2024-04-23,267.3754577636719
2024-04-24,267.1269226074219
2024-04-25,270.546875
2024-04-26,272.0679931640625
2024-04-29,274.02655029296875
2024-04-30,275.5674743652344
2024-05-01,277.3470764160156
2024-05-02,273.5692443847656
2024-05-03,275.06048583984375
2024-05-06,275.905517578125
2024-05-07,275.189697265625
2024-05-08,285.86724853515625
2024-05-09,283.0238952636719
2024-05-10,283.9484558105469
2024-05-13,285.3999938964844
2024-05-14,282.1092224121094
2024-05-15,282.16888427734375
2024-05-16,276.9494323730469
2024-05-17,270.7059631347656
2024-05-20,268.26025390625
2024-05-21,270.03985595703125
2024-05-22,216.74172973632812
2024-05-23,233.07615661621094
2024-05-24,235.24346923828125
2024-05-28,233.49368286132812
2024-05-29,235.15399169921875
2024-05-30,241.3477325439453
2024-05-31,240.4430389404297
2024-06-03,240.43309020996094
2024-06-04,239.5880584716797
2024-06-05,234.42823791503906
2024-06-06,227.69761657714844
2024-06-07,230.5906982421875
2024-06-10,229.13919067382812
2024-06-11,230.46144104003906
2024-06-12,240.39334106445312
2024-06-13,243.6343536376953
2024-06-14,238.5441436767578
2024-06-17,240.3535614013672
2024-06-18,241.7354736328125
2024-06-20,251.37904357910156
2024-06-21,255.6043243408203
2024-06-24,254.719482421875
2024-06-25,254.69961547851562
2024-06-26,259.43194580078125
2024-06-27,261.6589050292969
