date,next_return
2023-09-28,-0.009040703479918366
2023-09-29,0.0035635793322561504
2023-10-02,-0.002911767975523727
2023-10-03,0.00484357355685372
2023-10-04,0.0031898996465749008
2023-10-05,0.003603617219231303
2023-10-06,0.0011969686529287316
2023-10-09,-0.0006328646594883081
2023-10-10,0.007881155895263392
2023-10-11,-0.013893604131891557
2023-10-12,-0.019682743122930835
2023-10-13,0.005416403895869282
2023-10-16,0.007973753401206318
2023-10-17,-0.002494242745015751
2023-10-18,-0.014003264283439565
2023-10-19,-0.006158585423824081
2023-10-20,-0.0056869979797807835
2023-10-23,0.010338629378944475
2023-10-24,-0.005152754632898882
2023-10-25,0.048730712579446056
2023-10-26,-0.008625326354865792
2023-10-27,0.0007717391576218535
2023-10-30,0.014092464123284909
2023-10-31,0.005254322636224273
2023-11-01,0.011072765928140438
2023-11-02,0.006054127168193313
2023-11-03,0.007234643992652279
2023-11-06,-0.0009397654915282994
2023-11-07,-0.00537531097773869
2023-11-08,0.0017081209356188953
2023-11-09,0.016368906311893028
2023-11-10,-0.006173629928182156
2023-11-13,0.01559745605436591
2023-11-14,0.014427355125144814
2023-11-15,0.003145734184726301
2023-11-16,-0.0011107120647237956
2023-11-17,0.009549373763455327
2023-11-20,-0.0028506784465229806
2023-11-21,0.00792691610079288
2023-11-22,0.00032212645182827515
2023-11-24,0.0025133052478036877
2023-11-27,0.0005141094305403104
2023-11-28,0.004882662220752287
2023-11-29,0.013746076537154428
2023-11-30,0.012550551365178686
2023-12-01,0.0034255662582671764
2023-12-04,0.0018002711445834763
2023-12-05,-0.0068778172376076085
2023-12-06,-0.0003743513076606142
2023-12-07,0.01086005347678598
2023-12-08,0.009570247001878585
2023-12-11,0.007339028652381563
2023-12-12,-0.006617788889674681
2023-12-13,-0.004339316004727145
2023-12-14,-0.004174024628338491
2023-12-15,0.0031437882406339934
2023-12-18,-0.007250986092563028
2023-12-19,-0.009346318965261613
2023-12-20,0.00456103617996928
2023-12-21,0.008458942286928783
2023-12-22,0.006599166448123972
2023-12-26,0.0015316805489429264
2023-12-27,0.0017741811699598653
2023-12-28,-0.0012213623645058735
2023-12-29,-0.01253429761607261
2024-01-02,-0.00866894441732835
2024-01-03,0.004747048255853148
2024-01-04,-0.010568046045426271
2024-01-05,0.012440322780186586
2024-01-08,-0.006578176810686398
2024-01-09,0.0071838141442182035
2024-01-10,0.0057683062337814395
2024-01-11,0.02244688782503923
2024-01-12,0.006996372229962411
2024-01-16,-0.00527074991929688
2024-01-17,0.004576122165753427
2024-01-18,0.027811041485130028
2024-01-19,0.007872820265969693
2024-01-22,0.006422373591733699
2024-01-23,-5.747672215783428e-05
2024-01-24,0.0948657164346356
2024-01-25,-0.015806337679190707
2024-01-26,-0.0014938539131407191
2024-01-29,0.003900703876629441
2024-01-30,-0.022409141790503795
2024-01-31,0.017641247925544334
2024-02-01,-0.005938807115767442
2024-02-02,-0.012756425706880625
2024-02-05,-5.450605676715625e-05
2024-02-06,0.0017992346897550693
2024-02-07,0.012521971545420785
2024-02-08,0.01073980737086866
2024-02-09,-0.0009660414861054623
2024-02-12,-0.013214338530848635
2024-02-13,-0.0007075889367211818
2024-02-14,0.01797668068662328
2024-02-15,0.004120412528936024
2024-02-16,-0.022383082023973544
2024-02-20,-0.020388263635956028
2024-02-21,0.025097501064202277
2024-02-22,0.008197183341377645
2024-02-23,-0.008561225909076153
2024-02-26,0.00401875874875679
2024-02-27,0.0023259251205496323
2024-02-28,-0.0014570237541569053
2024-02-29,0.017132160184354817
2024-03-01,0.02582373816256278
2024-03-04,-0.005749512759776865
2024-03-05,0.02193285304262238
2024-03-06,0.0019370191952030602
2024-03-07,-0.0030018584702897755
2024-03-08,-0.02153609535305845
2024-03-11,0.03155487273438817
2024-03-12,-0.005460740825654398
2024-03-13,-0.016624242195301786
2024-03-14,-0.01220073647819353
2024-03-15,0.0032449278630706235
2024-03-18,0.008607511062427964
2024-03-19,0.003206911661622458
2024-03-20,-0.01062071788155361
2024-03-21,-0.005523899224539441
2024-03-22,-0.01074185943311412
2024-03-25,-0.001536220775790187
2024-03-26,0.01220170607925719
2024-03-27,0.0008386125929356059
2024-03-28,-0.005917582855222481
2024-04-01,-0.005004444492024862
2024-04-02,0.010694624830738464
2024-04-03,-0.015505458106885972
2024-04-04,0.006384969180555311
2024-04-05,0.0035952583553662265
2024-04-08,-0.002686742262693387
2024-04-09,-0.017273360164668072
2024-04-10,-0.0007525393295247929
2024-04-11,-0.01952652533871413
2024-04-12,-0.005596065367799441
2024-04-15,0.013792964501905924
2024-04-16,-0.0035373279733527108
2024-04-17,-0.008902243627262996
2024-04-18,0.0006062212172877057
2024-04-19,0.0017623013530942977
2024-04-22,0.0015942350922870663
2024-04-23,0.010483591964215
2024-04-24,-0.08250945563142709
2024-04-25,-0.0105381889858146
2024-04-26,0.0017949727842416774
2024-04-29,-0.007346439249967585
2024-04-30,-0.010649744054405552
2024-05-01,0.0015811230038382806
2024-05-02,0.006193616504793553
2024-05-03,0.017500314261011507
2024-05-06,-0.00136405093938341
2024-05-07,0.009027234551007846
2024-05-08,-0.011650776850842037
2024-05-09,0.005292531598378503
2024-05-10,0.002452976466530643
2024-05-13,-0.0011936047106198
2024-05-14,0.0053776399741944925
2024-05-15,0.004219659222552297
2024-05-16,0.00035513055257840875
2024-05-17,0.005265264239311618
2024-05-20,0.02089227372786584
2024-05-21,0.0012682151869538583
2024-05-22,-0.017387315573957784
2024-05-23,0.0012890214775811426
2024-05-24,-0.007197599401892685
2024-05-28,-0.015383730117657923
