date,open,high,low,close,adj_close,volume,Close
2023-06-08,207.3449010681014,207.64331981224046,205.5062385420695,207.15237426757812,207.15237426757812,1338700,207.15237426757812
2023-06-09,206.32448718442865,207.62405405030046,205.50622995532763,207.18124389648438,207.18124389648438,1295900,207.18124389648438
2023-06-12,207.19088423500617,210.435020477817,206.46889767987486,210.2039794921875,210.2039794921875,1348200,210.2039794921875
2023-06-13,210.75266553148242,212.3699229296,210.37723313905647,212.25440979003906,212.25440979003906,1345100,212.25440979003906
2023-06-14,213.22668601889862,213.85240179533145,207.2582670455308,208.0187530517578,208.0187530517578,2116800,208.0187530517578
2023-06-15,208.23053014126057,213.2844356268149,207.54705781563848,212.7164764404297,212.7164764404297,1911100,212.7164764404297
2023-06-16,213.98717676191677,214.42038043549402,212.49508300218608,213.0534210205078,213.0534210205078,3337400,213.0534210205078
2023-06-20,213.19783103420636,213.97757421243978,211.6864653666833,212.05227661132812,212.05227661132812,1779400,212.05227661132812
2023-06-21,211.2340100636013,213.52511880966162,210.17510524238043,212.32180786132812,212.32180786132812,1602700,212.32180786132812
2023-06-22,211.9271082075874,213.96793346676068,210.65641954513387,212.1677703857422,212.1677703857422,1279700,212.1677703857422
2023-06-23,210.29058680375354,210.68527626084287,205.24631746694172,205.84315490722656,205.84315490722656,2189700,205.84315490722656
2023-06-26,204.9671685828138,208.22092603436354,204.87091252183288,207.4893035888672,207.4893035888672,1169600,207.4893035888672
2023-06-27,207.65297241259273,208.2786882368663,206.0549719308161,207.55670166015625,207.55670166015625,1313300,207.55670166015625
2023-06-28,207.11387676334476,208.39420138870645,205.74691727410297,207.55670166015625,207.55670166015625,1725600,207.55670166015625
2023-06-29,208.0284000871837,211.28214286338738,206.28599351660233,208.3749542236328,208.3749542236328,1539700,208.3749542236328
2023-06-30,209.39536427730957,212.31218887131772,209.3472289011044,211.58056640625,211.58056640625,1781800,211.58056640625
2023-07-03,210.0692045878925,211.04147450587578,208.17278543678205,210.56015014648438,210.56015014648438,848300,210.56015014648438
2023-07-05,209.96333416628758,211.975266669478,209.10657730629205,211.4939422607422,211.4939422607422,1113000,211.4939422607422
2023-07-06,209.94403645552637,213.86202343520512,209.94403645552637,213.37106323242188,213.37106323242188,1889300,213.37106323242188
