feature,coefficient
rel_price_rank,6.0041953082975405e-05
fred_base,0.33850783391751393
close_lag_1,1.8098049128212383
returns_1d,588.4738947111074
ichimoku_senkou_b,-0.22394345210139294
fred_tb3ms,14.941172985604183
fred_pcend,-0.20910374098011608
obv_sma_20,-7.298999434087422e-07
rel_strength_20d_CDW,-151.36039730946663
close_roll_20_std,-0.6655075864748166
rel_price_ADI,87.1466752390948
fred_nasdaqcom,0.007767478092137738
rel_strength_20d_CTSH,-887.8541044281014
close_roll_5_max,0.2897838215545324
fred_unrate,-49.84979641482928
fred_dgs2,-21.116254637644168
fred_mortgage30us,16.278665401673756
rel_price_CDW,-11.235988945637569
returns_5d,-674.4203246622376
close_lag_5,-1.9919451684801524
bb_width,0.23454195185149473
rel_price_BR,108.70274667272318
fred_fedfunds,-33.24177574540421
rel_strength_20d_BR,-1664.49547693264
fred_pce,0.04181724367910202
minus_di_14,-0.012258453657074165
price_above_sma_50,-5.038314600198356
adx_14,-0.32816691985693536
rsi_21,-0.4331978336334213
price_above_sma_10,0.13753901425533854
rel_strength_20d_AAPL,787.1775716426728
avg_rel_price,-79.37728284637026
volume_ratio,-1.5713984283213285
stoch_k_14,0.15008756580951893
donchian_low_20,0.36704535667659016
returns_20d,71.52618214626503
sma_10_above_20,-2.7840279544707744
fred_civpart,-12.806734227370804
