feature,coefficient
rel_price_rank,0.0004951092828547651
fred_base,2.7914979988316535
close_lag_1,0.5073296399246704
avg_rel_price,15.479124147504535
rel_strength_20d_AFL,-329.8597324642824
macd_cross_signal,-6.151378247473394
fred_mortgage30us,-9.03187779168347
fred_cpilfesl,74.16287154982066
ichimoku_senkou_b,-0.216888939759047
fred_pcepilfe,-78.8778367395686
fred_civpart,-49.06341402889554
fred_houst,-0.05014093023963248
fred_sp500,0.06631075267169244
fred_payems,-0.06462412642682905
rel_price_AIG,36.418712722968124
fred_gdppot,0.005309351043783217
fred_pcedg,-0.05877435929209507
obv_sma_20,3.2665380460891233e-06
ichimoku_kijun_26,-1.174559222926179
rel_strength_20d_AIG,-3600.9969218049455
fred_cpiaucsl,-28.222203226741158
fred_dgs10,28.981289960198687
rel_return_AFL,194.33625652194064
macd_histogram,-14.374404603749543
price_above_sma_5,4.206423027990912
low_lag_1,0.676309787607611
volatility_20d,1366.7674012635491
fred_fedfunds,-45.24557509068329
open_lag_1,-0.3457140719843024
low_lag_2,0.7139957957406933
bb_middle,-0.5623841417297788
close_roll_10_max,0.17102169515090104
ichimoku_senkou_a,0.4234416800365913
atr_14,-2.2065858891359715
fred_pcesv,-0.066171900657986
volume_sma_20,3.892819553248277e-05
cci_20,0.02639607139683632
bb_width,0.1804898412414785
bb_lower,-0.6526291029790718
bb_upper,-0.47213925208740226
close_roll_20_min,0.5272713489362439
price_above_sma_50,-5.839738141051445
returns_20d,116.87197524086203
rsi_21,-0.3138094505397048
sma_20_above_50,6.507917772526451
obv,1.2945776978476142e-06
price_above_sma_20,3.233792209469412
close_roll_5_min,0.38147340616736036
high_lag_5,-0.22492691826943678
sma_20,-0.4312626050590277
close_roll_5_max,0.34582735618372407
close_roll_20_mean,-0.43126259279609447
high_lag_2,-0.21705518995955628
