date,target
2023-09-28,300.7264099121094
2023-09-29,303.1834716796875
2023-10-02,303.0086669921875
2023-10-03,303.30975341796875
2023-10-04,304.7822265625
2023-10-05,296.8052673339844
2023-10-06,294.3381042480469
2023-10-09,297.7609558105469
2023-10-10,300.5987243652344
2023-10-11,296.2298889160156
2023-10-12,295.4205627441406
2023-10-13,289.62799072265625
2023-10-16,287.6191101074219
2023-10-17,288.74053955078125
2023-10-18,285.4151916503906
2023-10-19,284.79107666015625
2023-10-20,282.84075927734375
2023-10-23,285.4347229003906
2023-10-24,289.7157287597656
2023-10-25,293.1776428222656
2023-10-26,300.4719543457031
2023-10-27,305.7086181640625
2023-10-30,305.3185729980469
2023-10-31,307.366455078125
2023-11-01,309.9312438964844
2023-11-02,306.4205627441406
2023-11-03,311.7547607421875
2023-11-06,307.7955627441406
2023-11-07,312.5348815917969
2023-11-08,317.4205322265625
2023-11-09,319.19537353515625
2023-11-10,319.6927490234375
2023-11-13,322.6864929199219
2023-11-14,322.0623779296875
2023-11-15,324.86114501953125
2023-11-16,325.7485656738281
2023-11-17,324.1785583496094
2023-11-20,324.3053283691406
2023-11-21,325.06591796875
2023-11-22,324.87091064453125
2023-11-24,329.66876220703125
2023-11-27,328.0792541503906
2023-11-28,327.4941101074219
2023-11-29,327.0845642089844
2023-11-30,326.78228759765625
2023-12-01,328.85943603515625
2023-12-04,333.81329345703125
2023-12-05,334.70074462890625
2023-12-06,335.1103210449219
2023-12-07,334.2228698730469
2023-12-08,335.6076354980469
2023-12-11,333.3647155761719
2023-12-12,333.0331726074219
2023-12-13,331.0730285644531
2023-12-14,340.0934753417969
2023-12-15,345.6519775390625
2023-12-18,344.65728759765625
2023-12-19,345.03759765625
2023-12-20,342.8629150390625
2023-12-21,342.1998291015625
2023-12-22,338.30889892578125
2023-12-26,329.53228759765625
2023-12-27,328.7228698730469
2023-12-28,328.2644958496094
2023-12-29,331.90191650390625
2024-01-02,334.2424011230469
2024-01-03,336.7583312988281
2024-01-04,339.3327941894531
2024-01-05,347.48529052734375
2024-01-08,345.75927734375
2024-01-09,346.13116455078125
2024-01-10,351.9057312011719
2024-01-11,356.16326904296875
2024-01-12,359.4028625488281
2024-01-16,361.9964904785156
2024-01-17,361.0569152832031
2024-01-18,364.0323181152344
2024-01-19,363.1807861328125
2024-01-22,365.4123229980469
2024-01-23,363.4059143066406
2024-01-24,356.1436767578125
2024-01-25,363.0242004394531
2024-01-26,365.0208740234375
2024-01-29,362.46630859375
2024-01-30,356.94622802734375
2024-01-31,358.854736328125
2024-02-01,360.6459045410156
2024-02-02,363.7680358886719
2024-02-05,359.6181945800781
2024-02-06,355.0964050292969
2024-02-07,363.0927429199219
2024-02-08,363.6114501953125
2024-02-09,361.6246032714844
2024-02-12,355.23345947265625
2024-02-13,353.23681640625
2024-02-14,363.41571044921875
2024-02-15,369.2979431152344
2024-02-16,369.45452880859375
2024-02-20,369.8753967285156
2024-02-21,369.9928283691406
2024-02-22,366.81195068359375
2024-02-23,372.889892578125
2024-02-26,375.5520324707031
2024-02-27,368.8673095703125
2024-02-28,372.7333068847656
2024-02-29,378.68402099609375
2024-03-01,370.1298522949219
2024-03-04,365.2850646972656
2024-03-05,372.3907775878906
2024-03-06,370.6681213378906
2024-03-07,370.1689758300781
2024-03-08,366.6357727050781
2024-03-11,364.7467956542969
2024-03-12,370.041748046875
2024-03-13,372.3515930175781
2024-03-14,337.6944274902344
2024-03-15,330.32452392578125
2024-03-18,326.7227783203125
2024-03-19,329.2381591796875
2024-03-20,333.6913757324219
2024-03-21,339.2408142089844
2024-03-22,331.9590148925781
2024-03-25,329.30657958984375
2024-03-26,325.2154846191406
2024-03-27,323.4439697265625
2024-03-28,325.9201965332031
2024-04-01,324.7456970214844
2024-04-02,327.33941650390625
2024-04-03,318.732421875
2024-04-04,319.5085754394531
2024-04-05,309.8896179199219
2024-04-08,307.7968444824219
2024-04-09,308.4551696777344
2024-04-10,309.044677734375
2024-04-11,310.4791564941406
2024-04-12,311.3437805175781
2024-04-15,311.8743591308594
2024-04-16,311.294677734375
2024-04-17,308.0621337890625
2024-04-18,303.6014709472656
2024-04-19,302.6287841796875
2024-04-22,297.86346435546875
2024-04-23,295.6528015136719
2024-04-24,293.4421081542969
2024-04-25,295.0927429199219
2024-04-26,298.40386962890625
2024-04-29,300.71282958984375
2024-04-30,305.23248291015625
2024-05-01,306.5392150878906
2024-05-02,301.2532043457031
2024-05-03,300.97808837890625
2024-05-06,302.0392150878906
2024-05-07,301.5873107910156
2024-05-08,303.1298522949219
2024-05-09,302.61895751953125
2024-05-10,298.2859802246094
2024-05-13,300.359130859375
2024-05-14,298.3351135253906
2024-05-15,301.7444763183594
2024-05-16,300.5850830078125
2024-05-17,295.7314147949219
2024-05-20,292.52838134765625
2024-05-21,288.6375427246094
2024-05-22,279.82421875
2024-05-23,277.35809326171875
2024-05-24,276.83740234375
2024-05-28,283.0273132324219
2024-05-29,285.935546875
2024-05-30,286.64300537109375
2024-05-31,283.3613586425781
2024-06-03,285.3559265136719
2024-06-04,289.0796813964844
2024-06-05,280.7380065917969
2024-06-06,277.3875732421875
2024-06-07,281.70086669921875
2024-06-10,280.54150390625
2024-06-11,280.3646545410156
2024-06-12,300.8110656738281
2024-06-13,303.5818176269531
2024-06-14,301.8427429199219
2024-06-17,301.803466796875
2024-06-18,299.2979736328125
2024-06-20,297.8929748535156
2024-06-21,298.109130859375
2024-06-24,297.2641296386719
2024-06-25,298.52178955078125
2024-06-26,300.4082336425781
